from n,tag,c/e,content,,,,,,,,,,,
70,使,cause,三是消费金融正在,8,3,6,,,,,,,,
70,使,effect,金融回归本质,6,1,6,,,,,,,,
70,推动,cause,二是消费金融,6,3,6,,,,,,,,
70,推动,effect,了征信体系的建设,8,2,8,,,,,,,,
72,使得,cause,普通存款的下滑也,8,1,7,,,,,,,,
72,使得,effect,银行某种程度上仍依赖于同业负债,15,1,15,,,,,,,,
72,导致,cause,当银行同业资产端逐渐收缩,12,2,12,,,,,,,,
72,导致,effect,负债端需求降低时,8,1,7,,,,,,,,
72,导致,cause,资产端逐渐收缩、进而,10,1,7,,,,,,,,
72,导致,effect,负债端需求降低,7,1,7,,,,,,,,
74,导致,cause,其最直接的原因是外需减少,12,9,12,,,,,,,,
74,导致,effect,出口下降,4,1,4,,,,,,,,
74,导致,cause,严重的结构性问题将,9,4,8,,,,,,,,
74,导致,effect,巴西失去增长动力,8,1,8,,,,,,,,
74,导致,cause,外部需求减少,6,1,6,,,,,,,,
74,导致,effect,出口下降是巴西经济增速下滑的主要原因,18,1,4,6,13,,,,,,
74,滋生,cause,政府通过国家发展银行（BNDES）主导的信贷,22,0,0,,,,,,,,
74,滋生,effect,出腐败等现象,6,0,0,,,,,,,,
74,导致,cause,加之国内较低的储蓄率和较高的融资成本,18,5,10,12,18,,,,,,
74,导致,effect,企业融资较多的依赖外国资本,13,1,13,,,,,,,,
74,使得,cause,较高的利率,5,1,5,,,,,,,,
74,使得,effect,债务利息负担仍然较重,10,1,10,,,,,,,,
74,使,cause,2013年中国经济增速放缓将,14,6,13,,,,,,,,
74,使,effect,巴西GDP增长率下降0.4个百分点,17,1,17,,,,,,,,
74,导致,cause,二是巴西货币贬值,8,3,8,,,,,,,,
74,导致,effect,其贸易条件恶化,7,2,7,,,,,,,,
74,造成,cause,贬值势必,4,1,2,,,,,,,,
74,造成,effect,贸易条件恶化,6,1,6,,,,,,,,
74,使,cause,通过巴西开发银行发放廉价贷款等措施也将,19,3,14,,,,,,,,
74,使,effect,其他产业的发展难度增加,11,1,11,,,,,,,,
75,推动,cause,所以风险管理模式的调整可以被视为,16,3,11,,,,,,,,
75,推动,effect,公司在行业转型发展中赢得先机并成功突围的关键,22,1,19,,,,,,,,
75,使得,cause,监管政策的密集出台,9,1,9,,,,,,,,
75,使得,effect,信托行业的传统风险控制面临着更多的政策压力,21,1,21,,,,,,,,
75,使得,cause,信托保障基金的征收,9,1,9,,,,,,,,
75,使得,effect,信托渠道的市场竞争力下降,12,1,12,,,,,,,,
75,造成,cause,将风险管控的整个链条打,11,0,0,,,,,,,,
75,造成,effect,“标准化”的处理流程,10,0,0,,,,,,,,
76,推动,cause,二是着力,4,0,0,,,,,,,,
76,推动,effect,国有资本投资运营公司的试点,13,1,13,,,,,,,,
77,推动,cause,与网上银行、互联网个人对个人的信贷业务（即P2P）等一道,28,2,5,7,19,,,,,,
77,推动,effect,了互联网金融的发展,9,2,9,,,,,,,,
77,使得,cause,这样的结果就,6,0,0,,,,,,,,
77,使得,effect,传统的商业银行的业务结构进行深入的转型,19,1,19,,,,,,,,
78,使,cause,互联网的出现会,7,1,6,,,,,,,,
78,使,effect,保险业进入一个全新的发展时代,14,1,14,,,,,,,,
78,使得,cause,互联网上聚集的庞大用户群体依然会,16,1,13,,,,,,,,
78,使得,effect,长尾区域里的用户数量达到规模效应的程度,19,1,19,,,,,,,,
78,带来,cause,互联网对于未来保险产品和服务的提供方式也将,21,0,0,,,,,,,,
78,带来,effect,深刻的影响,5,0,0,,,,,,,,
79,使得,cause,刚兑的打破,5,1,5,,,,,,,,
79,使得,effect,信用利差定价出现改善,10,1,10,,,,,,,,
79,带来,cause,特别是对于资产配置、资产腾挪、资本金、发展模式等将,25,0,0,,,,,,,,
79,带来,effect,较为重大的影响,7,0,0,,,,,,,,
80,引发,cause,欧元的波动,5,1,5,,,,,,,,
80,引发,effect,了欧洲其他国家相应调整货币政策来进行应对,20,2,15,,,,,,,,
80,带来,cause,后续对其他国家仍将,9,0,0,,,,,,,,
80,带来,effect,较多的负面影响,7,0,0,,,,,,,,
80,导致,cause,经济和居民收入增速下滑,11,1,11,,,,,,,,
80,导致,effect,消费需求减弱,6,1,6,,,,,,,,
80,导致,cause,全球经济增长放缓、美元走强和大宗商品价格下跌,22,1,8,10,13,15,22,9,,,
80,导致,effect,全球通缩风险上升,8,1,8,,,,,,,,
80,推动,cause,避险情绪,4,1,4,,,,,,,,
80,推动,effect,和欧央行的巨量QE操作,11,1,11,,,,,,,,
81,使得,cause,以及现金流改善,7,3,7,,,,,,,,
81,使得,effect,电力股的财务费用大幅降低,12,1,12,,,,,,,,
82,推动,cause,金融权重股的走强,8,1,8,,,,,,,,
82,推动,effect,股指运行重心逐步抬高,10,1,10,,,,,,,,
82,使得,cause,板块之间的有序轮动,9,1,9,,,,,,,,
82,使得,effect,股指有望打开新的上涨空间,12,1,12,,,,,,,,
82,使得,cause,而QFII和RQFII额度审批的再度开闸将,21,2,20,,,,,,,,
82,使得,effect,市场资金面的压力明显舒缓,12,1,12,,,,,,,,
82,推动,cause,A股向来“资金,7,0,0,,,,,,,,
82,推动,effect,市”的痕迹明显,7,0,0,,,,,,,,
83,导致,cause,正是由于大量次级贷款违约,12,5,12,,,,,,,,
83,导致,effect,金融机构违约,6,1,6,,,,,,,,
83,使得,cause,而未来的持续盈利改善会更加,13,5,10,,,,,,,,
83,使得,effect,债券有保障,5,1,5,,,,,,,,
83,造成,cause,能够减少资金的无序而,10,3,9,,,,,,,,
83,造成,effect,的杠杆过大,5,2,5,,,,,,,,
84,推动,cause,全会发布的公告深入阐述了中国在新时期,18,0,0,,,,,,,,
84,推动,effect,结构性改革的总体方针,10,0,0,,,,,,,,
84,使,cause,并明确指出要,6,0,0,,,,,,,,
84,使,effect,市场在资源配置中起决定性作用,14,1,14,,,,,,,,
84,使得,cause,我国独特的比较优势与出口导向型经济增长战略的结合,24,1,9,11,21,,,,,,
84,使得,effect,国际收支盈余连年高速增长,12,1,12,,,,,,,,
84,使得,cause,全球金融危机的爆发,9,1,9,,,,,,,,
84,使得,effect,全球经济再平衡被提上日程,12,1,12,,,,,,,,
84,使得,cause,影子银行体系的日益膨胀将,12,1,11,,,,,,,,
84,使得,effect,社会信用总额远远超出广义货币供应量,17,1,17,,,,,,,,
84,使得,cause,金融创新的发展和影子银行体系的膨胀,17,1,7,9,17,,,,,,
84,使得,effect,系统性风险的监控成为当务之急,14,1,14,,,,,,,,
86,带来,cause,给压抑已久的市场,8,0,0,,,,,,,,
86,带来,effect,了走出盘局的希望,8,0,0,,,,,,,,
86,带来,cause,“水涨船高”的A股市场或给投资者,16,1,11,,,,,,,,
86,带来,effect,难得的投资机遇,7,1,7,,,,,,,,
87,促进,cause,已成为服务实体经济、推动产业发展、,17,4,9,11,16,,,,,,
87,促进,effect,经济动能转换的重要力量,11,1,6,,,,,,,,
87,使得,cause,基金的出现,5,1,5,,,,,,,,
87,使得,effect,各路资金作为基金的投资人,12,0,0,,,,,,,,
87,带来,cause,这会给行业,5,0,0,,,,,,,,
87,带来,effect,全新的挑战,5,0,0,,,,,,,,
87,使得,cause,得益于401K计划,9,4,9,,,,,,,,
87,使得,effect,大量的养老金沉淀、入市,11,1,11,,,,,,,,
87,促进,cause,同时也能更好地,7,0,0,,,,,,,,
87,促进,effect,新兴产业和科技创新投资发展,13,1,13,,,,,,,,
88,使得,cause,一是降息、存款保险制度等,12,3,11,,,,,,,,
88,使得,effect,市场的风险承受能力陡然提升,13,1,13,,,,,,,,
89,使得,cause,层次的划分,5,1,5,,,,,,,,
89,使得,effect,监管资源得到更好的优化配置,13,1,13,,,,,,,,
90,使得,cause,无风险收益率的平稳运行,11,1,11,,,,,,,,
90,使得,effect,前段时间大幅波动的估值体系开始企稳,17,10,17,,,,,,,,
90,使得,cause,但是工业生产走强,8,3,8,,,,,,,,
90,使得,effect,货币政策变动窗口继续延后,12,1,12,,,,,,,,
91,使,cause,一些新的监管措施,8,3,8,,,,,,,,
91,使,effect,非标通道受阻,6,1,6,,,,,,,,
91,造成,cause,表内贷款增长受到约束而,11,1,10,,,,,,,,
91,造成,effect,借新还旧的偿债模式难以为继,13,1,13,,,,,,,,
91,推动,cause,违约将有利于,6,1,2,,,,,,,,
91,推动,effect,债券市场风险收益的更好匹配,13,1,13,,,,,,,,
91,促使,cause,适当的违约将,6,1,5,,,,,,,,
91,促使,effect,债券市场的价格信号对在引导市场资源配置的效率,22,0,0,,,,,,,,
91,导致,cause,信用风险上升,6,1,6,,,,,,,,
91,导致,effect,收益率水平上升,7,1,7,,,,,,,,
91,导致,cause,流动性下降会反过来,9,1,5,,,,,,,,
91,导致,effect,流动性溢价上升和债券价格下跌,14,1,7,9,14,,,,,,
91,导致,cause,债券市场的动荡,7,1,7,,,,,,,,
91,导致,effect,社会对信用的定价出现混乱,12,1,12,,,,,,,,
91,造成,cause,还会通过金融加速器机制对宏观经济,16,5,10,,,,,,,,
91,造成,effect,严重的冲击,5,0,0,,,,,,,,
91,带来,cause,这会给企业投资,7,0,0,,,,,,,,
91,带来,effect,较大打击,4,0,0,,,,,,,,
91,使,cause,违约高发最终,6,1,4,,,,,,,,
91,使,effect,所有金融资产的风险溢价上升,13,1,13,,,,,,,,
93,带来,cause,这些都会,4,0,0,,,,,,,,
93,带来,effect,对宏观经济面预期的改变”,12,1,11,,,,,,,,
94,促进,cause,在推动全球贸易发展、保障充分就业、,17,2,9,11,16,,,,,,
94,促进,effect,经济增长和提高生活水平等方面作出了重要贡献,21,1,4,6,11,,,,,,
94,推动,cause,一是达成《贸易便利化协定》并,14,3,13,,,,,,,,
94,推动,effect,协定生效,4,1,4,,,,,,,,
94,使,cause,相关条款完全实施将,9,1,8,,,,,,,,
94,使,effect,全球贸易成本减少14%,11,1,11,,,,,,,,
94,引起,cause,正是因为多边协议推进缓慢才,13,5,12,,,,,,,,
94,引起,effect,了双边协议签订的热潮,10,2,10,,,,,,,,
94,使得,cause,众口难调的现状,7,1,7,,,,,,,,
94,使得,effect,WTO的改革推进十分艰难,12,1,12,,,,,,,,
95,使得,cause,我们达成这个共识就,9,3,8,,,,,,,,
95,使得,effect,各国可以根据各国的情况,11,0,0,,,,,,,,
95,促进,cause,就是能够,4,0,0,,,,,,,,
95,促进,effect,全球的经济能够强劲、持续、平衡和包容性的增长,22,1,22,,,,,,,,
97,推动,cause,在肯定中国保险业“通过改革,13,0,0,,,,,,,,
97,推动,effect,、需求拉动、政策驱动三管齐下,14,0,0,,,,,,,,
97,造成,cause,同样规模的风险事故,9,6,9,,,,,,,,
97,造成,effect,的损失总量明显增大,9,2,9,,,,,,,,
97,带来,cause,谈及产业融合,6,3,6,,,,,,,,
97,带来,effect,的新风险,4,0,0,,,,,,,,
97,带来,cause,“移动互联网和APP微客服等营销渠道的拓展、大数据技术将,28,2,21,23,27,,,,,,
97,带来,effect,保险产品定价机制的创新,11,1,11,,,,,,,,
97,引起,cause,互联网共享经济理念也会,11,1,9,,,,,,,,
97,引起,effect,全社会对互助保险的关注,11,1,11,,,,,,,,
97,导致,cause,经济去杠杆化必然,8,1,6,,,,,,,,
97,导致,effect,信用风险加大,6,1,6,,,,,,,,
98,带来,cause,新兴市场外资大规模流出,11,1,11,,,,,,,,
98,带来,effect,股市下跌,4,1,4,,,,,,,,
98,使得,cause,股市暴跌,4,1,4,,,,,,,,
98,使得,effect,抵押品迅速缩水,7,1,7,,,,,,,,
98,造成,cause,企业陷入困境或者破产,10,1,10,,,,,,,,
98,造成,effect,更多的银行坏账,7,4,7,,,,,,,,
99,引发,cause,存在非正常退保激增及,10,3,9,,,,,,,,
99,引发,effect,重大突发事件的风险,9,1,9,,,,,,,,
99,造成,cause,兑付高峰将会对保险公司,11,1,4,,,,,,,,
99,造成,effect,怎样的影响,5,0,0,,,,,,,,
99,带来,cause,非正常退保又将对保险业,11,1,5,,,,,,,,
99,带来,effect,怎样的冲击,5,0,0,,,,,,,,
99,使得,cause,今年的经济形势会,8,0,0,,,,,,,,
99,使得,effect,很多消费者流动性紧张而回收资金,15,3,15,,,,,,,,
100,使得,cause,“藏汇于民”的情况,9,1,9,,,,,,,,
100,使得,effect,政府对外汇市场的控制力受到挑战,15,1,15,,,,,,,,
100,使得,cause,两市场间巨大的汇差,9,1,9,,,,,,,,
100,使得,effect,寻租腐败现象日益猖獗,10,1,10,,,,,,,,
100,带来,cause,国际收支双顺差的格局,10,1,10,,,,,,,,
100,带来,effect,外汇储备的迅猛增长,9,1,9,,,,,,,,
100,使得,cause,2005年“7·11汇改”,13,6,13,,,,,,,,
100,使得,effect,人民币汇率回到有管理的浮动模式,15,1,15,,,,,,,,
100,引发,cause,面对“8·11汇改”,10,3,10,,,,,,,,
100,引发,effect,的市场剧烈波动,7,2,7,,,,,,,,
100,引发,cause,此次汇改后,5,0,0,,,,,,,,
100,引发,effect,的一系列市场震荡并非偶然,12,2,8,,,,,,,,
100,带来,cause,降低政策调整给市场,9,1,6,,,,,,,,
100,带来,effect,的负面影响,5,0,0,,,,,,,,
100,使,cause,外汇市场避险工具的缺失,11,1,11,,,,,,,,
100,使,effect,微观主体承受较大的外汇风险,13,1,13,,,,,,,,
100,使,cause,人民币汇率的弹性浮动区间加大,14,1,14,,,,,,,,
100,使,effect,从事国际贸易的市场主体所承受的外汇风险呈现加大之势,25,1,25,,,,,,,,
101,使得,cause,三是我国以银行为主导的金融体系,15,5,15,,,,,,,,
101,使得,effect,银行在从事资产管理业务时有天然的渠道优势和资源优势,25,1,25,,,,,,,,
101,导致,cause,二是产品多层嵌套,8,3,8,,,,,,,,
101,导致,effect,风险传递,4,1,4,,,,,,,,
101,带来,cause,遏制产品嵌套所,7,3,6,,,,,,,,
101,带来,effect,的风险传染,5,2,5,,,,,,,,
101,带来,cause,以防止杠杆过高所,8,4,7,,,,,,,,
101,带来,effect,的资本市场异常波动,9,2,9,,,,,,,,
101,带来,cause,针对部分资管产品采用资金池操作所,16,5,15,,,,,,,,
101,带来,effect,的流动性风险问题,8,2,6,,,,,,,,
102,带来,cause,将会给保险公司,7,0,0,,,,,,,,
102,带来,effect,较重的税务负担,7,4,7,,,,,,,,
102,促进,cause,"将实现""营改增""",8,4,8,,,,,,,,
102,促进,effect,社会经济发展的目标”,10,1,6,,,,,,,,
103,使得,cause,新车销售的趋缓,7,1,7,,,,,,,,
103,使得,effect,交强险平均费率水平或继续呈现下降趋势,18,1,18,,,,,,,,
104,带来,cause,今年一季度保费数据则,10,0,0,,,,,,,,
104,带来,effect,“出人意料”的寒意——新渠道保费增速开始放缓,22,12,22,,,,,,,,
104,使得,cause,汽车产销量连续两年低于5%的增幅,16,1,16,,,,,,,,
104,使得,effect,车险业务整体难有快速增长的空间,15,1,15,,,,,,,,
104,带来,cause,“每一次突破性的服务升级都在一定程度上,19,5,12,,,,,,,,
104,带来,effect,了客户服务成本增速的上升,12,2,12,,,,,,,,
105,导致,cause,利率市场化会,6,1,5,,,,,,,,
105,导致,effect,利率上升,4,1,4,,,,,,,,
105,迫使,cause,存款利率上浮将,7,1,6,,,,,,,,
105,迫使,effect,银行设法提高贷款利率,10,1,10,,,,,,,,
105,导致,cause,压缩贷款会,5,1,4,,,,,,,,
105,导致,effect,银行整体资产质量下降,10,1,10,,,,,,,,
105,使得,cause,银行存款利率上浮,8,1,8,,,,,,,,
105,使得,effect,这些产品对客户的吸引力下降,13,3,13,,,,,,,,
105,导致,cause,既要避免定价过高,8,5,8,,,,,,,,
105,导致,effect,客户流失,4,1,4,,,,,,,,
106,由于,cause,P2P借贷行业的竞争加剧,12,1,12,,,,,,,,
106,由于,effect,出现大批平台经营困难的现象主要是,16,5,10,,,,,,,,
106,使得,cause,依托于互联网的P2P借贷,12,4,12,,,,,,,,
106,使得,effect,中小企业可以通过互联网将资料线上提交给P2P平台,24,1,24,,,,,,,,
106,使,cause,最主要的一点是,7,0,0,,,,,,,,
106,使,effect,投资人面临的风险降低,10,1,10,,,,,,,,
107,使得,cause,猪价上涨也,5,1,4,,,,,,,,
107,使得,effect,部分农业股股价受到提振,11,1,11,,,,,,,,
107,引发,cause,短期基本面超预期下滑,10,1,10,,,,,,,,
107,引发,effect,风险偏好下降,6,1,6,,,,,,,,
107,使得,cause,而政策面趋紧(如去杠杆化等),14,2,14,,,,,,,,
107,使得,effect,市场信心继续缺失,8,1,8,,,,,,,,
107,使得,cause,上周五4000点心理线支撑破位,15,9,15,,,,,,,,
107,使得,effect,市场恐慌情绪蔓延,8,1,8,,,,,,,,
107,使得,cause,周一杀跌形成的踩踏效应,11,3,11,,,,,,,,
107,使得,effect,短期累积的风险加速释放,11,1,11,,,,,,,,
107,造成,cause,也给A股市场的上行,9,0,0,,,,,,,,
107,造成,effect,了一定的压力,6,0,0,,,,,,,,
107,使得,cause,这样的跌幅,5,0,0,,,,,,,,
107,使得,effect,之前的B浪反弹有终结的迹象,13,4,13,,,,,,,,
107,导致,cause,产能过剩,4,1,4,,,,,,,,
107,导致,effect,企业反复去库存,7,1,7,,,,,,,,
108,使得,cause,优秀的单项表现,7,1,7,,,,,,,,
108,使得,effect,该行理财能力综合排名位居榜首,14,1,14,,,,,,,,
109,带来,cause,实施经济刺激计划在,9,1,9,,,,,,,,
109,带来,effect,明显成效的同时又产生了诸多新的问题与风险,20,9,20,,,,,,,,
109,推动,cause,经济增长会由供给,8,1,4,,,,,,,,
109,推动,effect,转向需求拉动、产业结构由以工业为主导转向以服务业为主导,27,0,0,,,,,,,,
109,使得,cause,发达经济体货币政策与宽松政策传导机制,18,1,18,,,,,,,,
109,使得,effect,其自身财政面临风险较大,11,2,11,,,,,,,,
109,使得,cause,所以2008年以后的这次扩张,14,13,14,,,,,,,,
109,使得,effect,国有企业空前膨胀,8,1,8,,,,,,,,
110,使得,cause,放开发行主体限制的政策,11,1,11,,,,,,,,
110,使得,effect,更多在银行间市场融资受限的发行人能够在交易所得以发债,26,3,26,,,,,,,,
110,使得,cause,交易所市场的集合竞价方式,12,7,12,,,,,,,,
110,使得,effect,市场的流动性更好,8,1,8,,,,,,,,
111,带来,cause,要特别关注并以极大的热情推动基于科技融合发展而,23,17,22,,,,,,,,
111,带来,effect,的艺术金融服务的创新,10,2,10,,,,,,,,
115,使得,cause,这种急功近利的发展模式与考核体制,16,3,16,,,,,,,,
115,使得,effect,保险营销员陷入短期利益的追逐,14,1,14,,,,,,,,
115,使得,cause,可见整个行业的粗放型发展方式,14,8,14,,,,,,,,
115,使得,effect,营销员人力规模和人力增长成为很多公司渠道竞争的重点与焦点,28,1,28,,,,,,,,
115,带来,cause,但正是因为只重视量的扩张、忽略服务的提升给保险营销员队伍,28,6,12,14,20,,,,,,
115,带来,effect,了大量的质疑,6,0,0,,,,,,,,
116,促进,cause,国务院发布了《关于,9,0,0,,,,,,,,
116,促进,effect,房地产市场持续健康发展的通知》,15,0,0,,,,,,,,
116,使,cause,政策的反复摇摆,7,1,7,,,,,,,,
116,使,effect,人们形成了极强的理性预期,12,1,12,,,,,,,,
116,造成,cause,同时政策失误也,7,3,6,,,,,,,,
116,造成,effect,了供给端问题频出,8,2,8,,,,,,,,
117,触发,cause,即转股价格过高,7,1,7,,,,,,,,
117,触发,effect,赎回条款,4,1,4,,,,,,,,
117,导致,cause,而大规模抛售股票会,9,2,8,,,,,,,,
117,导致,effect,股票大幅下跌,6,1,6,,,,,,,,
117,导致,cause,可以减少频繁交易,8,5,8,,,,,,,,
117,导致,effect,的交易成本大幅上升,9,2,9,,,,,,,,
117,使得,cause,更多竞争的结果当然会,10,1,4,,,,,,,,
117,使得,effect,消费者更受益,6,1,6,,,,,,,,
117,使得,cause,而由于预定利率高度管制,11,4,11,,,,,,,,
117,使得,effect,购买保障的价格又特别贵,11,1,11,,,,,,,,
118,造成,cause,并在一定程度上缓解由于长期金融抑制,17,12,17,,,,,,,,
118,造成,effect,的高利贷乱象,6,2,6,,,,,,,,
118,促进,cause,确保利率市场化改革能够,11,3,9,,,,,,,,
118,促进,effect,我国经济“稳增长”目标的实现,14,1,14,,,,,,,,
118,造成,cause,其核心思想是利率管制,10,7,10,,,,,,,,
118,造成,effect,了金融抑制,5,2,5,,,,,,,,
118,造成,cause,给银行的信贷资产,8,0,0,,,,,,,,
118,造成,effect,巨大的风险,5,0,0,,,,,,,,
118,导致,cause,利率市场化往往会,8,1,5,,,,,,,,
118,导致,effect,利率上升,4,1,4,,,,,,,,
120,迫使,cause,同时票据业务经营收益下降和市场竞争更趋激烈,21,3,12,14,21,,,,,,
120,迫使,effect,银行票据业务亟待加快转型发展,14,1,14,,,,,,,,
120,促使,cause,二是金融深化改革将,9,3,8,,,,,,,,
120,促使,effect,金融业的结构和生态将发生深刻变化,16,1,16,,,,,,,,
120,推动,cause,票据贴现业务单一收益率的降低将,15,1,14,,,,,,,,
120,推动,effect,金融机构加大票据资金化运作力度并发展成为市场常态,24,1,24,,,,,,,,
120,使得,cause,金融脱媒和利率市场化改革,12,1,4,6,12,,,,,,
120,使得,effect,银行加快了跨市场业务创新的步伐,15,1,15,,,,,,,,
120,使得,cause,主要是经济“三期叠加”之下经济增速放缓,19,14,19,,,,,,,,
120,使得,effect,企业一般性票据融资需求下降,13,1,13,,,,,,,,
120,推动,cause,以畅通中小企业票据融资途径为抓手,16,2,13,,,,,,,,
120,推动,effect,电子票据业务加快发展和票据信息化经营转型,20,1,20,,,,,,,,
121,带来,cause,这些重要举措将给资本市场开放创新,16,9,16,,,,,,,,
121,带来,effect,怎样的历史机遇,7,0,0,,,,,,,,
122,使得,cause,发达国家相继推出的量化宽松货币政策,17,10,17,,,,,,,,
122,使得,effect,人民币面临较大升值压力,11,1,11,,,,,,,,
122,缘于,cause,金融机构在金融市场开放后盲目借入大量外债,20,1,20,,,,,,,,
122,缘于,effect,2001年阿根廷金融危机都是,14,5,12,,,,,,,,
122,因为,cause,债务剧增而破产,7,1,7,,,,,,,,
122,因为,effect,持有外币贷款的许多企业,11,0,0,,,,,,,,
122,导致,cause,的运作模式,5,0,0,,,,,,,,
122,导致,effect,其自身的货币错配程度加深,12,5,12,,,,,,,,
122,引起,cause,外汇占款的增加必然,9,1,7,,,,,,,,
122,引起,effect,基础货币和M2增长过快,11,1,11,,,,,,,,
123,造成,cause,资本流向边际的变化将对流动性,14,1,9,,,,,,,,
123,造成,effect,阶段性的扰动,6,1,6,,,,,,,,
123,使得,cause,利率市场化、贷款额度控制等,13,1,5,7,12,,,,,,
123,使得,effect,市场利率有逐步上升趋势,11,1,11,,,,,,,,
123,带来,cause,期待改革,4,3,4,,,,,,,,
123,带来,effect,纠偏和挖潜,5,1,2,4,5,,,,,,
123,带来,cause,另一方面较好的宏观环境也将,13,5,11,,,,,,,,
123,带来,effect,全球风险偏好的活跃,9,1,9,,,,,,,,
123,带来,cause,（2）潜在的国企改革、减负增效措施,17,7,10,12,17,,,,,,
123,带来,effect,的费用控制或费用率有继续下降空间,16,2,16,,,,,,,,
123,引发,cause,外围经济持续复苏将,9,1,8,,,,,,,,
123,引发,effect,资金风险偏好的提升,9,1,9,,,,,,,,
124,引起,cause,这款以网上开户“万二”佣金为最大卖点的产品一经面世便,26,3,21,,,,,,,,
124,引起,effect,了广泛关注,5,0,0,,,,,,,,
124,使得,cause,网上开户的推广也,8,1,7,,,,,,,,
124,使得,effect,券商的展业成本大幅降低,11,1,11,,,,,,,,
125,使得,cause,长期以来企业对银行的融资依赖,14,5,14,,,,,,,,
125,使得,effect,银行在积累企业资源和信息方面拥有绝对优势,20,1,20,,,,,,,,
125,导致,cause,一部分是因评级下调,9,6,9,,,,,,,,
125,导致,effect,收益率大幅上升的公司债券,12,1,7,,,,,,,,
125,使得,cause,并购市场的兴起,7,1,7,,,,,,,,
125,使得,effect,高收益债有了新的用武之地,12,1,12,,,,,,,,
126,促进,cause,同时还作为重要依托,9,0,0,,,,,,,,
126,促进,effect,了互联网金融的发展,9,2,9,,,,,,,,
126,带来,cause,互联网金融的特性对传统金融监管,15,1,7,,,,,,,,
126,带来,effect,新的挑战,4,0,0,,,,,,,,
126,使得,cause,金融脱媒,4,1,4,,,,,,,,
126,使得,effect,利率形成多元化,7,1,7,,,,,,,,
126,促进,cause,在保证中央银行支付清算系统的安全性与高效性的前提下,25,2,21,,,,,,,,
126,促进,effect,互联网金融的发展,8,1,8,,,,,,,,
127,促进,cause,货币政策面临抑制资本外流和,13,1,12,,,,,,,,
127,促进,effect,增长的两难选择,7,0,0,,,,,,,,
127,推动,cause,只有改革、开放和合作才是,12,3,10,,,,,,,,
127,推动,effect,世界进步的正确方向,9,1,4,,,,,,,,
128,导致,cause,宏观流动性收紧持续,9,1,9,,,,,,,,
128,导致,effect,市场利率上升,6,1,6,,,,,,,,
128,使得,cause,IPO批量发行将,8,1,7,,,,,,,,
128,使得,effect,资金面抽紧,5,1,5,,,,,,,,
130,导致,cause,到底是什么,5,0,0,,,,,,,,
130,导致,effect,了这场本世纪最大“闹剧”的发生,15,4,15,,,,,,,,
131,推动,cause,本轮行情本质上是风险偏好提升并持续扩散,19,9,19,,,,,,,,
131,推动,effect,的反弹行情,5,2,5,,,,,,,,
131,使,cause,近期部分行业供给侧改革的实质推进,16,7,16,,,,,,,,
131,使,effect,市场预期边际改善,8,1,8,,,,,,,,
131,带来,cause,将长期受益于需求端的稳定增长和消费升级,19,7,14,16,19,,,,,,
131,带来,effect,的毛利率提升,6,2,5,,,,,,,,
131,使得,cause,1）前期的上涨,7,3,7,,,,,,,,
131,使得,effect,有些投资者有获利回吐动力,12,3,12,,,,,,,,
131,使得,cause,近期公布的宏观数据也,10,0,0,,,,,,,,
131,使得,effect,市场对经济增长的担心有所强化,14,1,14,,,,,,,,
131,造成,cause,欧洲金融机构的问题依然存在并有,15,1,13,,,,,,,,
131,造成,effect,系统性冲击的风险,8,1,8,,,,,,,,
131,促进,cause,使得市场对改革落地,9,6,9,,,,,,,,
131,促进,effect,经济向好的预期大幅增强,11,1,4,,,,,,,,
131,带来,cause,产业资本举牌介入有望,10,1,8,,,,,,,,
131,带来,effect,公司价值的重估,7,1,7,,,,,,,,
131,使得,cause,双重技术压力共振形成的压制自然也,16,1,13,,,,,,,,
131,使得,effect,A股市场需要适当的整固以重新积蓄做多动能,20,1,20,,,,,,,,
132,触发,cause,从而导致客户的细分需求和一些即时,16,0,0,,,,,,,,
132,触发,effect,的需求难以得到真正满足,11,2,11,,,,,,,,
132,使,cause,互联网的出现,6,1,6,,,,,,,,
132,使,effect,商业银行改变了渠道应用方面的传统取舍,18,1,18,,,,,,,,
132,使,cause,信息交换的即时性和充分性,12,1,12,,,,,,,,
132,使,effect,一般均衡理论的前提假设接近现实,15,1,15,,,,,,,,
134,推动,cause,很多人认为此举将,8,0,0,,,,,,,,
134,推动,effect,人民币汇率朝着更加市场化的方向发展,17,1,17,,,,,,,,
134,引起,cause,有人认为这次波动,8,7,8,,,,,,,,
134,引起,effect,了全球金融市场的震荡,10,2,10,,,,,,,,
134,使,cause,但是由于央行的干预,9,5,9,,,,,,,,
134,使,effect,其停留在了1%,7,0,0,,,,,,,,
134,使,cause,最终就是要,5,0,0,,,,,,,,
134,使,effect,人民币成为可兑换货币,10,1,10,,,,,,,,
134,使,cause,就是最终要,5,0,0,,,,,,,,
134,使,cause,这样才能够,5,0,0,,,,,,,,
134,使,effect,市场在配置资源中起决定性作用,14,1,14,,,,,,,,
134,使得,cause,只有在平稳发展中才能,10,4,7,,,,,,,,
134,使得,effect,市场主体有更大的空间进行市场操作,16,1,16,,,,,,,,
134,导致,cause,这种下降就,5,0,0,,,,,,,,
134,导致,effect,我们在贸易上有一些顺差,11,4,11,,,,,,,,
135,推动,cause,“一行三会+四家消保机构”模式虽然积极,19,1,15,,,,,,,,
135,推动,effect,金融消费者保护工作,9,1,9,,,,,,,,
