article,sentence,keyword,cause/effect,content,,,,,,,
50,6,从而,cause,不再拥有独立思考的能力,11,1,11,,,,
50,14,之所以-是因为,cause,围棋的计算，即使对于计算机而言，也过于复杂了,22,1,22,,,,
50,14,之所以-是因为,cause,如此，,3,0,0,,,,
50,16,使得,cause,建立在长期、刻苦训练之上的职业直觉，极大地简化了计算的任务，,30,1,29,,,,
50,16,使得,cause,计算机都无法完成的计算任务，而围棋选手却可以轻松胜任,26,1,26,,,,
50,18,凭借,cause,情感的力量来摆脱计算机的统治,14,1,14,,,,
50,18,凭借,cause,谁知道呢？,5,0,0,,,,
50,20,从而,cause,任何一位用户在登录一家网站后，网站技术可以根据这位特定用户的浏览历史记录，迅速地向这位特定的用户提供相关的信息，而屏蔽掉与历史记录无关的大量信息,72,16,72,,,,
50,20,从而,cause,赢得用户的喜爱,7,1,7,,,,
50,22,因为,cause,可以感动人类情绪的那些虚无飘渺的东西,18,1,18,,,,
50,22,因为,cause,几乎无法构成计算机借以进行计算的基础元素,20,1,20,,,,
50,25,使得,cause,那就是：为爱好者们提供一个网上交流的平台，,21,5,20,,,,
50,25,使得,cause,爱好者们可以相互交流,10,1,10,,,,
50,27,所以,cause,书中也提到，著名的亚马逊网站通过计算购物者们的购物记录，做出了新的销售策略，对于老客户，网站认为他们的忠诚度较高,56,39,56,,,,
50,27,所以,cause,就针对老客户实施了较高的价格；,15,2,14,,,,
50,32,以至于,cause,类似的案例，书中还介绍了许多起,15,0,0,,,,
50,32,以至于,cause,我们不禁要怀疑：是否是对于计算技术的高度依赖，才使得精明的商家们犯下了如此浅显的错误呢？,44,0,0,,,,
50,34,使得,cause,因为一个偶然的非技术因素的影响，,16,3,15,,,,
50,34,使得,cause,长资公司近乎完美的电脑计算系统完全崩溃了,20,1,20,,,,
50,35,只要,cause,做自己最擅长的事情，在集体大脑的自然运转之下,22,1,9,,,,
50,35,只要,cause,每个人都可以生活得很幸福,12,1,12,,,,
50,37,只要,cause,提供最简单的服务，任由爱好者们去尽情发挥,20,1,20,,,,
50,37,只要,cause,也许才是最好的技术解决之道,13,5,13,,,,
51,9,由于-因此,cause,资管新规提到产品公平竞争，,13,1,12,,,,
51,9,由于-因此,cause,银行理财一直希望将目前理财五万元购买门槛降低至一元，和基金相一致,32,1,32,,,,
51,12,带来,cause,第三，允许老产品对接新资产，避免了银行理财规模快速下降,27,4,13,15,27,,
51,12,带来,cause,的冲击,3,0,0,,,,
51,15,使得,cause,老产品的整体规模必须控制在资管新规存量产品的整体规模之内，所投资新资产的到期日不得晚于2020年底，这,51,1,49,,,,
51,15,使得,cause,过渡期内银行理财传统的业务模式依然可以运转,21,1,21,,,,
51,19,因,cause,特殊原因难以回表的非标和过渡期后仍未到期的少量股权类资产，通知明确，经金融监管部门同意后,44,0,0,,,,
51,19,因,cause,金融机构可以合理妥善处理,12,1,12,,,,
51,21,由于,cause,去杠杆、防范金融风险的需要，两个文件依然对银行理财进行严格限制：第一，银行理财销售的监管措施依然保留,50,36,50,,,,
51,21,由于,cause,取消了非存款类机构的代销资格,14,1,14,,,,
51,22,使得,cause,对于银行理财销售中的面签、双录以及产品评级等监管措施，征求意见稿进行了保留，这,39,1,37,,,,
51,22,使得,cause,希望通过直销银行解决网点不足的中小银行面临较大困难,25,1,25,,,,
51,23,使,cause,除此以外，资管新规中规定银行理财可以由持牌金融机构进行代销，征求意见稿中则将代销门槛抬升至存款类银行业金融机构，这会,58,31,55,,,,
51,23,使,cause,部分与券商合作代销业务的银行受到较大影响,20,1,20,,,,
51,27,由于,cause,征求意见稿延续了资管新规对标准化债权资产的定义,23,1,23,,,,
51,27,由于,cause,相关场所如北金所、银登中心等挂牌资产能否作为标准化资产依然需要明确,33,1,33,,,,
51,29,使得,cause,随着居民财富意识的崛起、严监管对于存款的挤水分和以贷款派生存款模式的终结，都,38,,,,,,
51,29,使得,cause,商业银行出现了存款压力,11,,,,,,
51,37,指引,cause,一方面，征求意见稿和通知的出台使得作为资管最大机构类型的银行理财开展业务有了更明确的方向和,45,,,,,,
51,37,指引,cause,nan,3,,,,,,
51,38,带来,cause,同时过渡期的安排也更加灵活，这将使得银行理财过渡更加平稳，避免银行理财规模短期快速下降，有效的缓解了当前因整改,55,,,,,,
51,38,带来,cause,的新风险,4,,,,,,
51,39,带来,cause,两个文件充分考虑了非标债权类资产作为银行理财优势品种的地位，缓解了银行理财处置非标资产的压力，避免了因为处置风险而,57,,,,,,
51,39,带来,cause,的新风险,4,,,,,,
51,41,由于,cause,部分条款依然不够明确,10,,,,,,
51,41,由于,cause,建议监管在正式稿中能够明确,13,,,,,,
51,42,指引,cause,首先，对于市场最为关注的非标准化资产的认定依然缺乏明确,27,,,,,,
51,42,指引,cause,，特别是银行理财投资较多的银登中心、北金所挂牌资产认定依然不够明确，建议能够明确,40,,,,,,
51,49,推动,cause,建议监管,4,,,,,,
51,49,推动,cause,和给予银行公募理财产品和公募基金平等的待遇,21,,,,,,
51,55,由于-因此,cause,半年以上的定期开放式资产管理产品、银行现金管理类理财可以使用摊余成本法，因此投资者更加偏好这样的产品，同时长期限的债券不可避免发生估值波动，,70,,,,,,
51,55,由于-因此,cause,银行理财投资也将会呈现短期化的特征,17,,,,,,
51,56,由于,cause,银行理财规模未来大概率会呈现下降态势，而银行理财是信用债市场主要参与方,35,,,,,,
51,56,由于,cause,未来企业融资难度必然加大,12,,,,,,
51,61,从而,cause,未来随着子公司细则的落地，子公司的制度优势将会更加明显,27,,,,,,
51,61,从而,cause,银行理财机构的市场份额会更加集中,16,,,,,,
52,10,使,cause,多次“双降”,6,,,,,,
52,10,使,cause,银行理财产品收益率几乎呈现出没有反弹的单边下滑态势，从年初的稳居5%以上一路下跌至年末4%的水平，超出市场预料,55,,,,,,
52,20,使得,cause,虽然全年4.96%的平均收益率较高，但受上半年较高收益率拉升的情况较为明显，从整体走势来看，持续下滑的收益率,54,,,,,,
52,20,使得,cause,封闭式银行理财产品的客户吸引力有所下滑,19,,,,,,
52,24,使,cause,经济下行压力影响、去年多次的“双降”,18,,,,,,
52,24,使,cause,银行理财产品收益率几乎没有反弹表现，仅去年4月，受股市大涨行情带动，收益率有所回升,41,,,,,,
52,27,使得,cause,在经济下行周期中，市场无风险收益率不断下行，,22,,,,,,
52,27,使得,cause,银行理财产品收益率也随之走低”,15,,,,,,
52,40,使得,cause,对比2015年同样火热但风险较高的P2P理财产品时，银行理财在本金和收益上的稳健性,41,,,,,,
52,40,使得,cause,其竞争力优势明显,8,,,,,,
52,47,带来,cause,净值型产品的“类基金”性质使得投资者能够理解其所要承受风险，将风险让渡给投资者后，收益率上限也能明显提升，增强客户粘性，有效的应对“资产荒”,70,,,,,,
52,47,带来,cause,的压力,3,,,,,,
52,55,由于,cause,银行在金融行业中的特殊定位，跨业经营难以做到完全的风险隔离,29,,,,,,
52,55,由于,cause,这也成为阻碍银行实现跨业经营的重要原因,19,,,,,,
53,0,从而,cause,近一年间，以余额宝为代表的互联网货基彻底改变了中小投资者对待货基的态度，从而带动货币基金总规模一举突破1.42万亿元，占据公募基金总规模的四成,71,,,,,,
53,0,从而,cause,取代股票型基金成为规模最大的基金品种,18,,,,,,
53,3,使得,cause,分析人士表示，央行的表态对那些协议存款占比较高的货币基金将造成较大的冲击，在,38,,,,,,
53,3,使得,cause,货基收益率进一步下行的同时，还对其资产配置产生较大的调整压力，并对基金经理的管理能力提出不小的挑战,49,,,,,,
53,7,使得,cause,正是这一改变，为货基尤其是互联网货基的流动性和收益率水平提供了很大的支撑，,37,,,,,,
53,7,使得,cause,协议存款逐渐成为货基第一大配置资产和超额收益的重要来源，且绝大多数的货币基金还对协议存款进行了期限错配,51,,,,,,
53,11,使得,cause,2013年年底和春节前，市场资金利率高位运行、银行揽储等因素抬高了整体收益率，再加上协议存款提前支取不罚息的政策红利，在,60,,,,,,
53,11,使得,cause,互联网货基在大额赎回时有所应对的同时，为互联网货基的高收益率做出了较大的贡献,38,,,,,,
53,14,由于-因此,cause,货币基金2013年投资银行协议存款的比例为47.4%，整体占比并不是很高，,37,,,,,,
53,14,由于-因此,cause,央行叫停协议存款政策红利对于货币基金的总体影响较为有限,27,,,,,,
53,15,带来,cause,但对于那些协存占比较高的货基来说，政策红利的取消将,25,,,,,,
53,15,带来,cause,较大的影响,5,,,,,,
53,17,导致,cause,济安金信副总经理王群航表示，在失去政策红利后，此类主投协议存款的货币基金出于流动性管理的需要，必将降低投资协议存款的比例，并缩短协议存款的投资期限，这将,76,,,,,,
53,17,导致,cause,其收益率的进一步下行,10,,,,,,
53,18,使,cause,“政策红利的取消，使得货币基金丧失了一个安全垫，一旦面临大规模赎回时，将,36,,,,,,
53,18,使,cause,货币基金面对更大的冲击，尽管这种大规模赎回现象并不常见”,28,,,,,,
53,20,带来,cause,货基基金经理投资能力面临挑战协议存款政策红利的取消，无疑对基金经理的投资能力提出了更高的要求，尤其是对余额宝这类规模很大、协存占比较高的货币基金，兼顾流动性和收益性将给基金经理,88,,,,,,
53,20,带来,cause,更大的挑战,5,,,,,,
53,28,使得,cause,王群航称，政策红利的取消，,13,,,,,,
53,28,使得,cause,基金经理将资产配置范围由货币市场向风险相对高点的债券市场转移，会更加考验基金经理的管理能力,45,,,,,,
53,29,由于,cause,货币基金规模的冲击会降低该类资产的收益率,20,,,,,,
53,29,由于,cause,有助于货币基金回归自己作为现金管理工具的定位上来,24,,,,,,
54,1,使得,cause,尽管探究股市下跌的原因业内各有说辞，但新年以来坊间流传的基金仓位创出新高，逼近“88%魔咒”的消息，已经,52,,,,,,
54,1,使得,cause,A股的上涨步伐大不如前,11,,,,,,
54,4,使,cause,相对而言，当基金逐步清仓,12,,,,,,
54,4,使,cause,仓位到达低点时，大盘的走势也很可能处于最底端,22,,,,,,
54,7,使得,cause,来自基金研究中心的数据显示，2012年年末的大涨行情,26,,,,,,
54,7,使得,cause,基金快速加仓，截至今年1月4日，普通股票型基金仓位平均数为89.11%，较上期仓位报告大涨13.13%，基金整体仓位达到88%的水平，创出公募基金自2008年以来单周加仓幅度之最,89,,,,,,
54,17,因为,cause,“88%魔咒”而对大盘过于担心,15,,,,,,
54,17,因为,cause,关键在于是否有新增资金入场,13,,,,,,
54,18,使得,cause,例如2007年市场增量资金迅速增加，,18,,,,,,
54,18,使得,cause,基金仓位即使处在高位后，市场仍然继续上涨,20,,,,,,
54,21,使得,cause,海通证券分析师娄静认为，今年的特殊之处在于：一是审核流程的简化,31,,,,,,
54,21,使得,cause,新基金发行速度进一步提升；,13,,,,,,
54,37,使得,cause,长城基金同样看好今年市场整体表现，认为基本面温和复苏、新政府政策刺激的叠加效应，将,41,,,,,,
54,37,使得,cause,2013年市场整体表现好于2012年,18,,,,,,
55,6,由于,cause,时间关系，我只讲我观点的主要思路,16,,,,,,
55,6,由于,cause,也不做具体的分析和案例了,12,,,,,,
55,11,因为,cause,刚才前头几位嘉宾很多都提到了，金融发展的历史和规律，实际上是非常漫长的,35,,,,,,
55,11,因为,cause,但也非常清晰的,7,,,,,,
55,51,所以,cause,而互联网技术的出现有可能掩盖了这种矛盾,19,,,,,,
55,51,所以,cause,可能使得在金融领域里头，最微观层面的服务就埋下了风险的种子,29,,,,,,
55,57,使得,cause,我们现在分业监管的基本思路，在理财业务这个层面上受到了重大的冲击，而互联网金融出现之后，,44,,,,,,
55,57,使得,cause,这种冲击变本加厉,8,,,,,,
55,61,使得,cause,但是实际上我们看一看，现在互联网金融的这种方式在一定程度上,29,,,,,,
55,61,使得,cause,系统性风险和区域性风险之间打通了,16,,,,,,
55,66,使得,cause,第四个层面，就是互联网金融的出现,16,,,,,,
55,66,使得,cause,我们直接金融和间接金融之间的界限，直接金融和间接金融的风险特征开始融合、模糊，增加了管理的难度,47,,,,,,
55,69,使得,cause,但是，我们看互联网金融出来之后，实际上,19,,,,,,
55,69,使得,cause,直接金融和间接金融中间地带的风险特征变得非常的模糊和混乱,28,,,,,,
55,72,使得,cause,这是我所说的第二个观点，就是在风险层面上，在四个层面上互联网金融的出现,35,,,,,,
55,72,使得,cause,整个金融体系的风险产生了一些新的特征,18,,,,,,
55,75,造成,cause,传统金融和互联网金融的融合所,14,,,,,,
55,75,造成,cause,的风险，形式复杂，不可忽视，这个监管必须在统一、规范的层面上进行,32,,,,,,
56,1,推动,cause,习近平总书记在贺信中指出，加快数字中国建设，就是要适应我国发展新的历史方位，全面贯彻新发展理念，以信息化培育新动能，用新动能,62,,,,,,
56,1,推动,cause,新发展，以新发展创造新辉煌,13,,,,,,
56,13,推动,cause,党的十八大以来，以习近平同志为核心的党中央高度重视发展数字经济，,32,,,,,,
56,13,推动,cause,数字经济逐渐上升为国家战略,13,,,,,,
56,15,推动,cause,党的十九大报告提出，,10,,,,,,
56,15,推动,cause,互联网、大数据、人工智能和实体经济深度融合，建设数字中国、智慧社会,33,,,,,,
56,16,推动,cause,2017年12月，中央政治局第二次集体学习时，习近平总书记强调，加快建设数字中国，构建以数据为关键要素的数字经济，,57,,,,,,
56,16,推动,cause,实体经济和数字经济融合发展,13,,,,,,
56,17,作用,cause,今年4月20日，习近平总书记在全国网络安全和信息化工作会议上强调必须敏锐抓住信息化发展的历史机遇，发挥信息化对经济社会发展的引领,64,,,,,,
56,17,作用,cause,nan,3,,,,,,
56,20,作用,cause,总的来看，数字经济,9,,,,,,
56,20,作用,cause,于产业改造升级正是基于数字技术对传统产业在公司层面、产业内部和产业融合三个层面的价值链重构,45,,,,,,
56,24,使,cause,数字技术,4,,,,,,
56,24,使,cause,公司传统业务流程中的生产、流转、销售和客户需求真正融合，打通了生产端和需求端，通过再造线上线下一体化的管理流程，实现生产端对市场的快速响应，有利于满足用户多样化、多层次需求,86,,,,,,
56,25,使得,cause,此外，工业互联网、工业物联网的推广，,18,,,,,,
56,25,使得,cause,越来越多的企业加入智能工厂的建设领域，远程操控、自动化流水线生产等有利于提高公司的生产效率和技术密度，进而提升公司的整体竞争力,63,,,,,,
56,31,使得,cause,平台化发展模式下，行业得以将越来越多的个性化用户纳入产业生态环境，而产业的数字化风潮则,43,,,,,,
56,31,使得,cause,产业内公司得以运用大数据分析，对用户进行精准画像，进而整合产业链资源来匹配用户的需求,42,,,,,,
56,32,使得,cause,数字经济运作的高效率使得个性化定制能够实现批量化生产的时间效益，进而,34,,,,,,
56,32,使得,cause,传统企业得以在微笑曲线中占据更高位置,18,,,,,,
56,35,使得,cause,通过数字经济，以教育为代表的传统产业，由线下走到线上，跻身科技行业领域，快速实现了自身在宏观价值链相对位置的攀升，跨界融合,61,,,,,,
56,35,使得,cause,传统产业切换到价值链更高的领域成为可能,19,,,,,,
56,38,推动,cause,可以预见，随着我国数字经济生态的不断优化，数字经济必将成为,29,,,,,,
56,38,推动,cause,经济高质量发展的重要动力，助力产业转型，加快产业升级,26,,,,,,
57,1,使得,cause,近年来，民粹政治势力在美欧国家的逐步抬头，,21,,,,,,
57,1,使得,cause,反全球化思潮愈演愈烈,10,,,,,,
57,3,推动,cause,专家表示，在旧议题很难,11,,,,,,
57,3,推动,cause,的情况下，用新议题激活WTO不失为一个好的方式，例如数字经济发展下的知识产权保护和环境保护方面的议题，以解决现阶段经济发展的现实问题,66,,,,,,
57,8,使得,cause,近年来，民粹政治势力在美欧国家的逐步抬头，,21,,,,,,
57,8,使得,cause,反全球化思潮愈演愈烈,10,,,,,,
57,9,使,cause,从英国脱欧到特朗普的“美国优先”，无不,19,,,,,,
57,9,使,cause,全球多边贸易体制备受挑战,12,,,,,,
57,11,推动,cause,WTO议题,5,,,,,,
57,11,推动,cause,难在哪里？,5,,,,,,
57,15,因此,cause,何宁表示，WTO早期成员国较少，又以美国、欧盟、日本和加拿大四国推动为主,36,,,,,,
57,15,因此,cause,协议谈判推进较为顺利,10,,,,,,
57,16,使得,cause,但如今WTO已成长为拥有164个成员国的巨大组织，成员国的不断增加冲淡了传统四国的话语权，加之各国间利益存在较大分歧，同床异梦,63,,,,,,
57,16,使得,cause,WTO议题的推进变得十分艰难,14,,,,,,
57,18,使得,cause,发展中国家在世贸中声音渐强，但各自诉求又有所不同，犹如一盘散沙，,32,,,,,,
57,18,使得,cause,WTO中分歧更难以达成共识,13,,,,,,
57,19,导致,cause,这是由于各国间经济发展水平不一致,16,,,,,,
57,19,导致,cause,的，是多边贸易体制必然会出现的问题,17,,,,,,
57,20,使得,cause,而如今，美国刻意“缺位”造成的权力真空,19,,,,,,
57,20,使得,cause,问题更加明显,6,,,,,,
57,21,带来,cause,此外，世界经济近年来发生巨变，数字经济、人工智能的蓬勃发展给投资贸易,34,,,,,,
57,21,带来,cause,很大变化,4,,,,,,
57,22,推动,cause,各国对于WTO的诉求有所转化，在这样的情况下,22,,,,,,
57,22,推动,cause,旧议题达成显然困难重重,11,,,,,,
57,23,推动,cause,商务部国际贸易经济合作研究院原院长霍建国表示，在旧议题很难,29,,,,,,
57,23,推动,cause,的情况下，WTO议题需要更新，以解决现阶段经济发展的现实问题,30,,,,,,
57,29,因此,cause,何伟文认为，多边体制是经济全球化的上层建筑，而经济全球化的趋势是不可改变的,37,,,,,,
57,29,因此,cause,多边体制是不会被取代的,11,,,,,,
57,34,引起,cause,何宁表示，近年来，贸易区的火热发展与多边贸易体制推进遇到困难不无关系，正是因为多边协议推进缓慢才,48,,,,,,
57,34,引起,cause,了双边协议签订的热潮，一旦多边贸易好转，双边贸易的热潮将会退去,31,,,,,,
57,35,作用,cause,原因在于双边协定耗费的成本远大于多边协定，但其,23,,,,,,
57,35,作用,cause,与影响力远逊于多边协定,11,,,,,,
57,36,造成,cause,对外经济贸易大学国际经贸学院教授卢进勇表示，双边、区域贸易的促进作用并没有想象中大，双边不只会对多边造成冲击，也会形成贸易保护主义，对协议外的第三方,74,,,,,,
57,36,造成,cause,贸易壁垒,4,,,,,,
57,37,由于,cause,加强外交的需要，目前许多双边协定政治意义大于经济效用,26,,,,,,
57,37,由于,cause,其对于贸易的促进作用远不及多边体制,17,,,,,,
57,42,推动,cause,在会议期间，有很多国际代表就明确表达了他们对中国积极参与和,29,,,,,,
57,42,推动,cause,多边贸易体制的期待,9,,,,,,
57,47,推动,cause,十九大报告提出“,8,,,,,,
57,47,推动,cause,形成全面开放新格局”,10,,,,,,
57,52,作用,cause,此外，孙永福提出，想要在WTO中起到更重要的推动,24,,,,,,
57,52,作用,cause,，就需要在世贸中有充足的人才储备，而在这方面我们做的还不够,29,,,,,,
58,11,使得,cause,首先，金融科技使整个金融市场的信息咨询管理发生了根本的改变，,30,,,,,,
58,11,使得,cause,银行等金融机构从内部行政的运营走向市场，更好地适应一个市场化、专业化、效率化和竞争化的变革过程；,48,,,,,,
58,14,带来,cause,再次，金融科技给金融监管,12,,,,,,
58,14,带来,cause,了冲击,3,,,,,,
58,16,使得,cause,此外，科技赋能消费者，,11,,,,,,
58,16,使得,cause,消费者本身变成平台，大大提高了金融机构对消费者服务的标准,28,,,,,,
58,20,使得,cause,“传统科技条件所形成的成本效率的限制以及商业可持续的前提条件，,31,,,,,,
58,20,使得,cause,金融产生了脱实向虚的趋向,12,,,,,,
58,23,使得,cause,“我们整个经济是信用经济，但要取得信任的传统渠道就那么一些，但是以区块链为代表的新数字技术，,46,,,,,,
58,23,使得,cause,我们不需要借助传统的信任渠道就能得到信任”,21,,,,,,
58,24,使得,cause,李扬表示，数字技术变革了效率与成本，,18,,,,,,
58,24,使得,cause,很多碎片化、规模化的需求都可以得到满足，极大地降低了金融的成本，并丰富我们可以得到的信息,44,,,,,,
58,36,造成,cause,“我们希望打,6,,,,,,
58,36,造成,cause,新一代互联网的银行,9,,,,,,
59,1,指引,cause,日前，银监会发布《商业银行表外业务风险管理指引（修订征求意见稿）》（以下简称《,39,,,,,,
59,1,指引,cause,》），并向社会公开征求意见,13,,,,,,
59,3,指引,cause,业内专家表示，《,8,,,,,,
59,3,指引,cause,》是继《商业银行理财业务监督管理办法（征求意见稿）》、央行拟将理财纳入MPA考核后，针对理财业务的又一重大监管动作，旨在引导银行表外业务理性发展,72,,,,,,
59,7,引起,cause,表外业务风险积聚引关注记者了解到，所谓银行表外业务，是指商业银行按照现行的会计准则不计入资产负债表内、不形成现实资产负债、但能够,64,,,,,,
59,7,引起,cause,当期损益变动的业务,9,,,,,,
59,9,使得,cause,“对于表外业务来讲，受到的限制较表内业务更少，银行能在较短的时间迅速拓展相应的业务，,42,,,,,,
59,9,使得,cause,近两年表外业务发展极为迅速,13,,,,,,
59,10,使得,cause,但过快的发展，也,8,,,,,,
59,10,使得,cause,银行在表外业务的风险管理上较为混乱，风险积聚速度也较快”,28,,,,,,
59,14,使得,cause,过快的发展使得同业理财面临客户、资产同质化极为严重的情况，同时期限错配因素的影响,40,,,,,,
59,14,使得,cause,流动性风险与信用风险积聚速度也极快,17,,,,,,
59,18,指引,cause,据了解，《,5,,,,,,
59,18,指引,cause,》中许多规定都主要针对表外理财业务，如实质重于形式、风险隔离等原则与此前发布的《理财业务监督管理办法（征求意见稿）》的规定相似，而“代理投融资服务类表外业务，不得以任何形式约定或承诺承担信用风险；,98,,,,,,
59,20,指引,cause,同业理财或受冲击与2011年出台的《商业银行表外业务风险管理指引》相比，此次的《,40,,,,,,
59,20,指引,cause,》到底有何变化？,8,,,,,,
59,23,因此,cause,四大分类中，担保承诺类业务应该会占用银行资本，导致部分表外业务的优势将消失,37,,,,,,
59,23,因此,cause,划入这块的业务在规模上受到的影响可能相对较大,22,,,,,,
59,26,指引,cause,另外，此次《,6,,,,,,
59,26,指引,cause,》强调了全面且有针对性的管理方式，需要覆盖所有类型的表外业务，但根据产品分类、风险等因素的不同，相关监管政策也会有所区别,60,,,,,,
59,27,导致,cause,“这将使得部分风险较高的业务不再能‘蒙混过关’，会,25,,,,,,
59,27,导致,cause,部分表外业务规模增速明显放缓,14,,,,,,
59,29,促使,cause,对于风险限额、授权、审批都需要更加精细的操作，间接,25,,,,,,
59,29,促使,cause,银行偏向于发行更容易走完流程的产品，也即是风险更小、透明度更高的产品，而对于部分透明度较低、潜在风险较高的产品可能会在额度等方面受到一定的限制”,72,,,,,,
59,31,指引,cause,理财规模增速将放缓除扩大了表外业务的定义范围外，此次《,27,,,,,,
59,31,指引,cause,》还强调了产品透明度和信息披露的重要性,19,,,,,,
59,33,由于,cause,监管没有硬性要求，银行对于相关信息披露的动力不足,24,,,,,,
59,33,由于,cause,市场与银行间信息不对称的情况尤为明显,18,,,,,,
59,35,作用,cause,此次《指引》明确了披露的要求，能更好地使投资者及第三方机构准确地了解市场情况，对整个业务流程起到监督,50,,,,,,
59,35,作用,cause,，降低潜在风险的爆发”,11,,,,,,
59,37,指引,cause,值得关注的是，此次《,10,,,,,,
59,37,指引,cause,》并未对表外业务设定具体的监管时间表，而是由各银行的董事会负责审批表外业务的发展战略、重要的业务管理和风险管理制度、风险限额、授权等,66,,,,,,
59,40,指引,cause,对于明年银行理财市场的判断，平安证券分析师励雅敏表示：“《,29,,,,,,
59,40,指引,cause,》并未对银行表外理财提出拨备和资本计提要求，但考虑到此前颁布的理财征求意见稿以及纳入广义信贷口径的影响，明年规模增速下行将是大概率事件”,68,,,,,,
60,0,使得,cause,利率市场化改革的逐步推进，在促进金融市场逐渐向成熟的市场化方向演进的同时，也,38,,,,,,
60,0,使得,cause,中国的商业银行经营面临巨大的挑战,16,,,,,,
60,2,从而,cause,随着本次贷款利率的完全放开，使得议价能力较强的银行客户可能将取得更好的融资价格,39,,,,,,
60,2,从而,cause,令银行的利差水平降低，进而可能进一步压缩贷款为银行带来的收益,30,,,,,,
60,8,因此,cause,从普通投资者角度来看，银行发行的理财产品被天然地赋予了银行自身的信用,34,,,,,,
60,8,因此,cause,银行理财产品被大多数的投资者视为一种具有较高利率的“存款”,29,,,,,,
60,13,作用,cause,随着金融市场的持续发展与利率市场化的推进，越来越多的创新金融工具的出现将使得银行理财产品逐渐脱离当前利率市场化“推手”的,60,,,,,,
60,13,作用,cause,，以预期收益率为主的发行形式也将发生改变,20,,,,,,
60,25,使得,cause,由于采取了预期收益率的形式发行，无论是宏观环境的变化还是融资企业经营情况的变化都无法反映到理财产品的价格中，这无疑,57,,,,,,
60,25,使得,cause,银行面临刚性兑付的巨大风险,13,,,,,,
60,28,使得,cause,这种“受益凭证”一方面可按照份额发行，另一方面可以通过二级市场进行交易，,36,,,,,,
60,28,使得,cause,无论是宏观环境还是企业经营情况的变化都可以通过“受益凭证”的“价格”反映出来,38,,,,,,
60,32,引致,cause,债权直接融资工具以及未来还将出现的更多创新工具，都是银行理财转向资产管理业务的手段，这一方面是经济结构调整和转型的客观要求，也是利率市场化未来将,72,,,,,,
60,32,引致,cause,的必然结果,5,,,,,,
60,34,因此,cause,考虑到债权直接融资工具以及银行开展资产管理计划将面临二级市场交易等各种挑战,37,,,,,,
60,34,因此,cause,，此次试点最终能够成型的产品还并未达到上述的理想状态,26,,,,,,
60,35,推动,cause,但无论如何，这仍然是监管层,13,,,,,,
60,35,推动,cause,理财产品转型的具有重大意义的举措，将提升商业银行自主管理能力，同时令理财产品“去通道化”步伐向前迈进一大步,53,,,,,,
61,4,使得,cause,在经济基本面无较大变化的背景下，股市板块的轮动,23,,,,,,
61,4,使得,cause,偏股方向基金业绩呈现较为显著的差异性,18,,,,,,
61,9,推动,cause,综合来看，受一月份GDP增速超预期以及汇丰制造业PMI指数的好转使得场外资金持续进入，,43,,,,,,
61,9,推动,cause,市场估值修复行业得以延续，A股市场走势强劲；,22,,,,,,
61,10,导致,cause,节后市场情绪陡转直下，股指出现快速回调行情走势，并最终,27,,,,,,
61,10,导致,cause,一季度上证指数以1.43%的跌幅收盘,18,,,,,,
61,16,推动,cause,一季度机构配置债券需求以及资金面整体较为宽松是,23,,,,,,
61,16,推动,cause,债市上行的主要动力,9,,,,,,
61,30,使得,cause,但由于基础市场风格轮动的特征,14,,,,,,
61,30,使得,cause,本季度股票基金投资效果出现较大的差异,18,,,,,,
61,38,推动,cause,在结构性转型的,7,,,,,,
61,38,推动,cause,下，大科技、大环保、城镇化和新兴产业等相关行业成为持续的热点，重仓该类行业的基金业绩表现出色,46,,,,,,
61,43,导致,cause,而在经济弱复苏下，资金对于周期性行业更多的是谨慎，同时受制于调控政策的房地产行业也跌幅较大，由此,48,,,,,,
61,43,导致,cause,重配金融地产和周期风格的基金业绩落后,18,,,,,,
61,48,推动,cause,与股票市场大幅振荡不同，受一季度机构配置债券需求以及资金面整体较为宽松等因素的,39,,,,,,
61,48,推动,cause,，一季度债券市场继续保持整体上行的态势,19,,,,,,
61,49,使得,cause,德圣基金研究中心表示，外汇占款增多补充银行间资金供给等因素影响，,32,,,,,,
61,49,使得,cause,本季度债券市场表现稳健，债券指数持续上涨，但债市内部结构分化，短久期债券略差，长久期较好,44,,,,,,
61,54,使得,cause,债市的走强,5,,,,,,
61,54,使得,cause,债券基金整体获得正收益,11,,,,,,
61,55,使得,cause,海通证券基金研究中心的数据显示，中证转债指数年初至今上涨5.59%,33,,,,,,
61,55,使得,cause,转债基金领涨，纯债和偏债基金中转债配置比例较高、中低评价信用债配置比例较高的基金也有较好表现,46,,,,,,
61,56,使得,cause,从债基表现看，股市分化,11,,,,,,
61,56,使得,cause,股市配置较好的二级债基如招商进取、华富债券以及受益于转债表现，重配转债的基金业绩较佳；,43,,,,,,
62,2,使得,cause,他指出，市场普遍认为造成2008-09金融危机的一个重要因素是金融体系中存在过多的顺周期因素，或者说正反馈机制，这就容易,60,,,,,,
62,2,使得,cause,金融体系大起大落,8,,,,,,
62,3,作用,cause,对于这个问题，可以通过引入负反馈机制来对冲,21,,,,,,
62,3,作用,cause,nan,3,,,,,,
62,14,使得,cause,周小川说，一旦主要经济体发生危机，这种国际货币体系会,26,,,,,,
62,14,使得,cause,资本流动发生异常,8,,,,,,
